Symbol	TestNum	SigNum	HarmonicP	SigProp	MR
mical2b	9	1	0.00631410915982648	0.111111111111111	1306.4528311424
srp68	24	6	0.00912193012563601	0.25	1307.50449330012
ppdpfb	24	5	0.00809753667789907	0.208333333333333	1307.54732227939
klf2a	24	6	0.00914343034598865	0.25	1308.96294829151
atxn1b	20	5	0.00811774210329999	0.25	1309.71752679729
fgfrl1a	19	4	0.00760215453228192	0.210526315789474	1310.76161066763
zgc:174904	14	4	0.007602647471962	0.285714285714286	1311.2520734016
mical2a	11	3	0.0071765146483562	0.272727272727273	1311.26275017633
mpc1	24	6	0.00916246886624707	0.25	1311.5113419258
plod1a	15	6	0.00916340516738304	0.4	1311.87499404478
ilvbl	12	4	0.00760337799226742	0.333333333333333	1312.23244892054
galnt6	17	4	0.00760654116064103	0.235294117647059	1312.72236211622
pon3.2.1	24	6	0.00916849232149357	0.25	1312.96534607734
kti12	7	1	0.00636107998538041	0.142857142857143	1313.78689291681
b4galt1l	14	4	0.00763355781652817	0.285714285714286	1315.1691906367
si:ch211-59o9.10	4	3	0.0072176526250056	0.75	1316.67004218977
serp1	24	6	0.00920812669041919	0.25	1317.31772932729
lgals3a	24	6	0.00921256372142179	0.25	1317.67977900551
si:ch73-86n18.1	21	6	0.00921569917395528	0.285714285714286	1318.04172923318
acot18	13	3	0.00723627323192341	0.230769230769231	1318.82675132104
sc5d	8	4	0.00767186265615224	0.5	1319.56204856005
tnip2	2	2	0.00685612346545832	1	1320.28595387514
nr4a3	24	6	0.00923299240980909	0.25	1320.57260307792
pdcl	24	6	0.00925473386643021	0.25	1322.73806930926
gpd1b	15	5	0.00821715150581561	0.333333333333333	1323.09334515748
lygl1	24	6	0.0092898080088915	0.25	1324.89999622613
ninl	12	3	0.00726164604377815	0.25	1325.27582034835
si:dkey-228d14.5	12	4	0.0076953159980483	0.333333333333333	1325.88159350675
sap18	24	6	0.00929250715341343	0.25	1325.97963785271
c1galt1c1	24	6	0.00929882874539221	0.25	1326.33932309949
rbpms2a	16	4	0.00771360984157814	0.25	1328.78816972458
arl11	14	5	0.0082631165952927	0.357142857142857	1329.5172056051
zdhhc16a	14	4	0.00772189278561896	0.285714285714286	1330.72236022395
copa	24	5	0.00827693479869764	0.208333333333333	1332.07807578985
porb	24	6	0.00936377656441225	0.25	1333.87030853828
serpina7	2	1	0.00647480860164622	0.5	1334.2387342601
si:dkey-40c23.1	2	1	0.00647480860164622	0.5	1334.2387342601
shmt1	18	5	0.00829403735498115	0.277777777777778	1334.63403223505
rc3h2	20	5	0.00830879815776564	0.25	1336.33528726888
socs3b	24	6	0.00941470178785137	0.25	1337.79819105873
pla2g12b	4	3	0.00734130707336192	0.75	1338.08071505422
rpz4	17	6	0.00942426872209527	0.352941176470588	1338.51111314027
cers1	4	2	0.00695043297145243	0.5	1339.57829185158
rgl3a	11	5	0.00833472854210879	0.454545454545455	1339.73131634668
dele1	24	6	0.00943822658279302	0.25	1339.93581935852
pa2g4b	24	6	0.00944896530721274	0.25	1340.64760470453
CABZ01115113.1	24	6	0.00945095534885676	0.25	1341.0033557005
smarcd2	19	5	0.00834785833608732	0.263157894736842	1341.42610679828
krt15	24	6	0.00945780342553782	0.25	1341.71457471401
ENSDARG00000095082	13	3	0.00737541168459727	0.230769230769231	1342.32186900162
slc30a7	24	6	0.00945906049228912	0.25	1342.7806969122
si:ch211-157j23.2	2	1	0.00654405095358774	0.5	1345.97139642713
si:dkey-56e3.2	2	1	0.00654405095358774	0.5	1345.97139642713
idh2	24	6	0.00954135257253266	0.25	1346.68259066493
zgc:153993	22	6	0.00955076109019613	0.272727272727273	1347.39081190277
xkr9	12	4	0.00784686899813233	0.333333333333333	1350.38809236456
psph	24	6	0.00958748072853685	0.25	1351.98520701966
slc38a4	22	6	0.00959155404081548	0.272727272727273	1352.3379755076
med10	24	6	0.00959218280544692	0.25	1352.69065199697
